iteration,class,top,left,bottom,right,center_x,center_y,object_id
1,mario,41.59,192.99,53.79,207.51,200.25,47.69,7
2,mario,41.59,192.99,53.79,207.51,200.25,47.69,7
3,mario,40.39,193.86,52.17,207.38,200.62,46.28,7
4,mario,38.39,188.42,53.73,203.6,196.01,46.06,7
5,mario,38.73,183.19,54.2,198.8,190.99,46.46,7
6,mario,38.64,178.86,53.88,194.44,186.65,46.26,7
7,mario,38.5,173.99,53.3,189.33,181.66,45.9,7
8,mario,38.53,171.12,53.45,186.18,178.65,45.99,7
9,mario,38.32,168.13,53.58,183.07,175.6,45.95,7
10,mario,38.3,166.1,53.68,181.16,173.63,45.99,7
11,mario,38.57,164.2,53.7,179.64,171.92,46.13,7
12,mario,38.43,163.05,53.65,178.59,170.82,46.04,7
13,mario,39.53,163.05,54.81,178.65,170.85,47.17,7
14,mario,39.53,163.05,54.81,178.65,170.85,47.17,7
15,mario,40.45,164.22,55.85,179.47,171.85,48.15,7
16,mario,40.33,166.11,56.05,181.23,173.67,48.19,7
17,mario,41.39,168.12,56.69,183.18,175.65,49.04,7
18,mario,41.43,171.14,56.63,185.92,178.53,49.03,7
19,mario,42.46,174.92,57.66,190.09,182.51,50.06,7
20,mario,42.41,179.01,57.59,195.0,187.01,50.0,7
21,mario,43.48,184.21,59.2,199.34,191.77,51.34,7
22,mario,44.62,189.33,59.95,204.63,196.98,52.29,7
23,mario,47.11,192.67,59.27,206.81,199.74,53.19,7
24,mario,48.25,192.7,60.27,206.88,199.79,54.26,7
25,mario,48.59,193.65,60.03,207.37,200.51,54.31,7
26,mario,46.57,188.26,62.16,203.56,195.91,54.37,7
27,mario,47.84,183.33,62.53,198.41,190.87,55.19,7
28,mario,48.48,179.09,63.67,194.28,186.68,56.08,7
29,mario,49.41,176.06,64.93,190.98,183.52,57.17,7
30,mario,50.38,173.08,65.64,188.66,180.87,58.01,7
31,mario,51.17,171.16,66.59,186.78,178.97,58.88,7
32,mario,53.3,170.19,68.72,185.77,177.98,61.01,7
33,mario,53.93,169.09,69.69,184.77,176.93,61.81,7
34,mario,54.99,169.12,70.77,184.81,176.96,62.88,7
35,mario,57.48,170.2,72.56,185.82,178.01,65.02,7
36,mario,59.47,171.17,74.95,186.69,178.93,67.21,7
37,mario,60.48,173.12,75.61,188.86,180.99,68.04,7
38,mario,62.35,176.2,77.89,191.72,183.96,70.12,7
39,mario,64.16,179.14,79.65,194.86,187.0,71.9,7
40,mario,66.47,183.27,81.59,198.49,190.88,74.03,7
41,mario,67.26,187.22,82.58,202.86,195.04,74.92,7
42,mario,72.61,192.4,84.08,206.66,199.53,78.35,7
43,mario,71.04,188.16,86.8,203.76,195.96,78.92,7
44,mario,72.63,183.26,87.79,198.54,190.9,80.21,7
45,mario,74.68,179.08,89.86,194.84,186.96,82.27,7
46,mario,76.81,174.19,91.63,189.73,181.96,84.22,7
47,mario,78.56,171.16,94.0,186.64,178.9,86.28,7
48,mario,79.37,168.11,94.71,183.69,175.9,87.04,7
49,mario,80.3,165.09,95.76,180.86,172.98,88.03,7
50,mario,81.54,163.16,97.05,178.74,170.95,89.29,7
50,box,253.62,144.31,255.92,158.99,151.65,254.77,1
51,mario,82.42,161.22,97.74,176.72,168.97,90.08,7
51,box,252.58,144.23,256.0,158.84,151.54,254.29,1
52,mario,82.41,161.22,97.72,176.71,168.96,90.07,7
52,box,251.64,144.08,256.0,158.9,151.49,253.82,1
53,mario,83.44,160.15,98.69,175.84,167.99,91.07,7
53,box,250.64,144.03,256.0,159.04,151.54,253.32,1
54,mario,84.59,160.16,100.04,175.74,167.95,92.32,7
54,box,249.69,143.95,256.0,159.06,151.51,252.85,1
55,mario,85.43,161.22,100.85,176.71,168.96,93.14,7
55,box,248.78,143.94,256.0,159.08,151.51,252.39,1
56,mario,85.44,163.1,100.94,178.76,170.93,93.19,7
56,box,247.74,144.0,255.92,159.04,151.52,251.83,1
57,mario,86.4,165.16,101.66,180.77,172.96,94.03,7
57,box,246.5,144.04,255.94,159.0,151.52,251.22,1
58,mario,87.57,167.19,102.89,182.77,174.98,95.23,7
58,box,245.53,144.05,255.89,158.99,151.52,250.71,1
