iteration,class,top,left,bottom,right,center_x,center_y,object_id
1,1,53.78999710083008,192.99000549316406,41.59000015258789,207.50999450683594,tensor(200.2500),tensor(47.6900),0
2,1,53.78999710083008,192.99000549316406,41.59000015258789,207.50999450683594,tensor(200.2500),tensor(47.6900),0
3,1,52.18000030517578,193.86000061035156,40.38999938964844,207.38999938964844,tensor(200.6250),tensor(46.2850),0
4,1,53.72999954223633,188.4199981689453,38.380001068115234,203.59999084472656,tensor(196.0100),tensor(46.0550),0
5,1,54.19000244140625,183.1800079345703,38.720001220703125,198.7899932861328,tensor(190.9850),tensor(46.4550),0
6,1,53.87000274658203,178.86000061035156,38.63999938964844,194.4499969482422,tensor(186.6550),tensor(46.2550),0
7,1,53.30000305175781,173.99000549316406,38.5,189.3300018310547,tensor(181.6600),tensor(45.9000),0
8,1,53.45000076293945,171.12001037597656,38.52000045776367,186.1699981689453,tensor(178.6450),tensor(45.9850),0
9,1,53.58000183105469,168.1300048828125,38.31999969482422,183.07000732421875,tensor(175.6000),tensor(45.9500),0
10,1,53.67000198364258,166.10000610351562,38.29999923706055,181.16000366210938,tensor(173.6300),tensor(45.9850),0
11,1,53.69999694824219,164.1999969482422,38.56999969482422,179.63999938964844,tensor(171.9200),tensor(46.1350),0
12,1,53.650001525878906,163.0500030517578,38.43000030517578,178.5900115966797,tensor(170.8200),tensor(46.0400),0
13,1,54.80999755859375,163.0500030517578,39.529998779296875,178.65000915527344,tensor(170.8500),tensor(47.1700),0
14,1,54.80999755859375,163.0500030517578,39.529998779296875,178.65000915527344,tensor(170.8500),tensor(47.1700),0
15,1,55.849998474121094,164.22999572753906,40.44000244140625,179.47999572753906,tensor(171.8550),tensor(48.1450),0
16,1,56.04999923706055,166.11000061035156,40.32999801635742,181.22999572753906,tensor(173.6700),tensor(48.1900),0
17,1,56.69000244140625,168.1199951171875,41.38999938964844,183.17999267578125,tensor(175.6500),tensor(49.0400),0
18,1,56.62999725341797,171.13999938964844,41.43000030517578,185.9199981689453,tensor(178.5300),tensor(49.0300),0
19,1,57.65999984741211,174.92999267578125,42.46000289916992,190.10000610351562,tensor(182.5150),tensor(50.0600),0
20,1,57.59000015258789,179.02000427246094,42.40999984741211,195.00999450683594,tensor(187.0150),tensor(50.),0
21,1,59.20000076293945,184.20999145507812,43.47999954223633,199.33999633789062,tensor(191.7750),tensor(51.3400),0
22,1,59.959999084472656,189.3300018310547,44.62999725341797,204.62998962402344,tensor(196.9800),tensor(52.2950),0
23,1,59.26000213623047,192.6699981689453,47.11000061035156,206.8100128173828,tensor(199.7400),tensor(53.1850),0
24,1,60.26000213623047,192.70999145507812,48.25,206.8800048828125,tensor(199.7950),tensor(54.2550),0
25,1,60.029998779296875,193.64999389648438,48.599998474121094,207.3699951171875,tensor(200.5100),tensor(54.3150),0
26,1,62.160003662109375,188.260009765625,46.56999969482422,203.55999755859375,tensor(195.9100),tensor(54.3650),0
27,1,62.540000915527344,183.32000732421875,47.849998474121094,198.41000366210938,tensor(190.8650),tensor(55.1950),0
28,1,63.68000030517578,179.0800018310547,48.48999786376953,194.27000427246094,tensor(186.6750),tensor(56.0850),0
29,1,64.93000030517578,176.0699920654297,49.409996032714844,190.97999572753906,tensor(183.5250),tensor(57.1700),0
30,1,65.63999938964844,173.0800018310547,50.37000274658203,188.6599884033203,tensor(180.8700),tensor(58.0050),0
31,1,66.59000396728516,171.16000366210938,51.17000198364258,186.77999877929688,tensor(178.9700),tensor(58.8800),0
32,1,68.72999572753906,170.1800079345703,53.29999923706055,185.77000427246094,tensor(177.9750),tensor(61.0150),0
33,1,69.69000244140625,169.08999633789062,53.93000030517578,184.76998901367188,tensor(176.9300),tensor(61.8100),0
34,1,70.77000427246094,169.1199951171875,54.9900016784668,184.80999755859375,tensor(176.9650),tensor(62.8800),0
35,1,72.55999755859375,170.1999969482422,57.47999572753906,185.8199920654297,tensor(178.0100),tensor(65.0200),0
