iteration,class,top,left,bottom,right,center_x,center_y
1,mario,41.59,192.99,53.79,207.51,200.25,47.69
2,mario,41.59,192.99,53.79,207.51,200.25,47.69
3,mario,40.39,193.86,52.18,207.39,200.625,46.285
4,mario,38.38,188.42,53.73,203.6,196.01,46.055
5,mario,38.72,183.18,54.19,198.79,190.985,46.455
6,mario,38.64,178.86,53.87,194.45,186.655,46.254999999999995
7,mario,38.5,173.99,53.3,189.33,181.66000000000003,45.9
8,mario,38.52,171.12,53.45,186.17,178.64499999999998,45.985
9,mario,38.32,168.13,53.58,183.07,175.6,45.95
10,mario,38.3,166.1,53.67,181.16,173.63,45.985
11,mario,38.57,164.2,53.7,179.64,171.92,46.135000000000005
12,mario,38.43,163.05,53.65,178.59,170.82,46.04
13,mario,39.53,163.05,54.81,178.65,170.85000000000002,47.17
14,mario,39.53,163.05,54.81,178.65,170.85000000000002,47.17
15,mario,40.44,164.23,55.85,179.48,171.855,48.144999999999996
16,mario,40.33,166.11,56.05,181.23,173.67000000000002,48.19
17,mario,41.39,168.12,56.69,183.18,175.65,49.04
18,mario,41.43,171.14,56.63,185.92,178.52999999999997,49.03
19,mario,42.46,174.93,57.66,190.1,182.515,50.06
20,mario,42.41,179.02,57.59,195.01,187.015,50.0
21,mario,43.48,184.21,59.2,199.34,191.775,51.34
22,mario,44.63,189.33,59.96,204.63,196.98000000000002,52.295
23,mario,47.11,192.67,59.26,206.81,199.74,53.185
24,mario,48.25,192.71,60.26,206.88,199.79500000000002,54.254999999999995
25,mario,48.6,193.65,60.03,207.37,200.51,54.315
26,mario,46.57,188.26,62.16,203.56,195.91,54.364999999999995
27,mario,47.85,183.32,62.54,198.41,190.865,55.195
28,mario,48.49,179.08,63.68,194.27,186.675,56.085
29,mario,49.41,176.07,64.93,190.98,183.52499999999998,57.17
30,mario,50.37,173.08,65.64,188.66,180.87,58.004999999999995
31,mario,51.17,171.16,66.59,186.78,178.97,58.88
32,mario,53.3,170.18,68.73,185.77,177.97500000000002,61.015
33,mario,53.93,169.09,69.69,184.77,176.93,61.81
34,mario,54.99,169.12,70.77,184.81,176.965,62.879999999999995
35,mario,57.48,170.2,72.56,185.82,178.01,65.02
36,mario,59.47,171.17,74.95,186.69,178.93,67.21000000000001
37,mario,60.48,173.13,75.61,188.86,180.995,68.045
38,mario,62.35,176.2,77.89,191.73,183.96499999999997,70.12
39,mario,64.16,179.14,79.65,194.86,187.0,71.905
40,mario,66.47,183.27,81.58,198.49,190.88,74.025
41,mario,67.26,187.21,82.58,202.86,195.03500000000003,74.92
42,mario,72.61,192.4,84.08,206.66,199.53,78.345
43,mario,71.04,188.16,86.8,203.76,195.95999999999998,78.92
44,mario,72.63,183.26,87.79,198.54,190.89999999999998,80.21000000000001
45,mario,74.68,179.08,89.86,194.85,186.965,82.27000000000001
46,mario,76.81,174.19,91.63,189.73,181.95999999999998,84.22
47,mario,78.55,171.16,94.0,186.64,178.89999999999998,86.275
48,mario,79.37,168.1,94.71,183.69,175.89499999999998,87.03999999999999
49,mario,80.3,165.09,95.76,180.86,172.97500000000002,88.03
50,mario,81.53,163.16,97.04,178.74,170.95,89.285
50,box,253.62,144.31,255.92,158.99,151.65,254.76999999999998
51,mario,82.42,161.22,97.74,176.72,168.97,90.08
51,box,252.59,144.24,256.0,158.85,151.54500000000002,254.29500000000002
52,mario,82.42,161.22,97.73,176.71,168.965,90.075
52,box,251.64,144.08,256.0,158.9,151.49,253.82
53,mario,83.44,160.14,98.69,175.83,167.985,91.065
53,box,250.64,144.03,255.99,159.04,151.535,253.315
54,mario,84.6,160.15,100.05,175.74,167.945,92.32499999999999
54,box,249.69,143.96,256.0,159.07,151.515,252.845
55,mario,85.43,161.21,100.85,176.7,168.95499999999998,93.14
55,box,248.78,143.94,256.0,159.08,151.51,252.39
56,mario,85.44,163.1,100.95,178.76,170.93,93.195
56,box,247.74,144.0,255.92,159.04,151.51999999999998,251.82999999999998
57,mario,86.4,165.15,101.66,180.76,172.95499999999998,94.03
57,box,246.5,144.04,255.94,159.0,151.51999999999998,251.22
58,mario,87.57,167.18,102.89,182.77,174.97500000000002,95.22999999999999
58,box,245.53,144.05,255.89,158.99,151.52,250.70999999999998
59,mario,88.61,170.19,103.83,185.74,177.965,96.22
59,box,244.55,144.03,255.93,158.99,151.51,250.24
60,box,243.62,144.03,255.95,159.0,151.515,249.785
60,mario,88.54,174.18,103.92,189.68,181.93,96.23
61,box,242.53,144.04,255.92,159.08,151.56,249.225
61,mario,89.53,178.07,104.71,193.61,185.84,97.12
62,box,241.56,144.04,255.94,159.1,151.57,248.75
62,mario,90.6,183.19,105.82,198.55,190.87,98.21
63,box,240.75,144.04,255.97,159.09,151.565,248.36
63,mario,91.36,188.16,107.04,203.66,195.91,99.2
64,box,239.64,144.05,255.55,159.08,151.565,247.595
64,mario,94.13,192.49,106.05,206.8,199.645,100.09
65,box,238.6,144.06,253.98,159.03,151.54500000000002,246.29
65,mario,95.61,193.5,107.08,206.92,200.20999999999998,101.345
66,box,237.61,144.02,253.02,159.09,151.555,245.315
66,mario,96.11,192.57,108.11,207.16,199.865,102.11
67,box,236.53,144.03,252.11,159.08,151.555,244.32
67,mario,96.45,193.61,108.11,207.15,200.38,102.28
68,box,235.63,144.06,250.9,159.04,151.55,243.265
68,mario,95.2,188.26,110.13,203.49,195.875,102.66499999999999
69,box,234.6,144.03,249.99,159.11,151.57,242.29500000000002
69,mario,96.12,183.29,111.09,198.41,190.85,103.605
70,box,233.56,144.03,249.03,159.07,151.55,241.29500000000002
70,mario,97.18,179.19,111.94,194.71,186.95,104.56
71,box,232.68,144.05,247.95,159.07,151.56,240.315
71,mario,97.17,176.2,112.04,191.7,183.95,104.605
72,box,231.66,144.03,247.03,159.13,151.57999999999998,239.345
72,mario,98.1,173.31,113.03,188.7,181.005,105.565
73,box,230.35,144.09,246.06,159.05,151.57,238.20499999999998
73,mario,99.17,170.26,114.07,185.68,177.97,106.62
74,box,229.29,144.1,245.0,159.04,151.57,237.14499999999998
74,mario,99.15,168.22,114.19,183.72,175.97,106.67
75,box,228.39,144.08,244.03,159.09,151.585,236.20999999999998
75,mario,100.04,167.17,115.26,182.73,174.95,107.65
76,mario,101.11,166.22,116.18,181.72,173.97,108.64500000000001
76,box,227.43,144.09,243.02,159.05,151.57,235.22500000000002
77,mario,101.1,166.23,116.19,181.73,173.98,108.645
77,box,226.38,144.09,242.09,159.06,151.575,234.235
78,box,225.36,144.08,241.04,159.1,151.59,233.2
78,mario,102.1,167.25,117.16,182.69,174.97,109.63
79,box,224.46,144.09,239.98,159.05,151.57,232.22
79,mario,102.99,168.17,118.18,183.74,175.95499999999998,110.58500000000001
80,box,223.47,144.09,239.08,159.06,151.575,231.275
80,mario,104.21,169.28,119.12,184.63,176.95499999999998,111.66499999999999
81,box,222.39,144.11,238.02,158.99,151.55,230.20499999999998
81,mario,104.2,172.25,119.07,187.63,179.94,111.63499999999999
82,box,221.37,144.09,236.98,159.06,151.575,229.175
82,mario,105.1,174.23,120.16,189.68,181.95499999999998,112.63
83,box,221.19,143.99,236.12,159.01,151.5,228.655
83,mario,106.1,177.2,121.21,192.56,184.88,113.655
84,mario,107.24,181.28,121.97,196.55,188.91500000000002,114.60499999999999
84,box,220.31,143.99,235.05,158.95,151.47,227.68
85,box,219.19,143.98,234.02,159.02,151.5,226.60500000000002
85,mario,107.27,186.38,122.36,201.57,193.975,114.815
86,box,218.1,144.01,233.12,159.01,151.51,225.61
86,mario,108.19,191.13,123.1,206.5,198.815,115.645
87,box,217.31,144.0,232.07,158.97,151.485,224.69
87,mario,111.53,193.45,122.81,207.64,200.545,117.17
88,box,216.09,143.98,231.03,159.02,151.5,223.56
88,mario,110.37,192.3,123.72,207.36,199.83,117.045
89,box,214.38,144.09,230.06,159.05,151.57,222.22
89,mario,110.4,192.3,123.73,207.5,199.9,117.065
90,box,213.35,144.1,229.02,159.05,151.575,221.185
90,mario,113.18,192.44,124.83,206.88,199.66,119.005
91,box,212.39,144.08,228.03,159.1,151.59,220.20999999999998
91,mario,114.53,193.47,125.82,207.29,200.38,120.175
92,box,210.33,144.1,226.07,159.07,151.58499999999998,218.2
92,mario,112.24,192.29,125.62,207.14,199.71499999999997,118.93
93,box,208.47,144.09,224.01,159.05,151.57,216.24
93,mario,114.38,192.24,125.65,206.96,199.60000000000002,120.015
94,mario,114.51,192.25,125.7,207.19,199.72,120.105
94,box,206.39,144.1,222.03,158.99,151.54500000000002,214.20999999999998
95,box,204.42,144.09,220.1,159.06,151.575,212.26
95,mario,112.32,186.77,126.72,202.85,194.81,119.52
96,box,202.4,144.08,218.01,159.08,151.58,210.20499999999998
96,mario,112.25,180.9,126.65,196.73,188.815,119.45
97,mario,112.01,175.76,126.67,191.8,183.78,119.34
97,box,200.65,144.05,215.95,159.07,151.56,208.3
98,box,199.64,144.03,215.01,159.14,151.58499999999998,207.325
98,mario,111.76,171.7,126.7,187.78,179.74,119.23
99,box,197.55,144.05,212.98,159.09,151.57,205.265
99,mario,111.69,167.86,126.61,183.74,175.8,119.15
100,mario,111.62,165.69,126.73,181.8,173.745,119.17500000000001
100,box,194.49,144.04,210.06,159.09,151.565,202.275
